variable,gas,sector,unit,global
CEDS+|9+ Sectors|Emissions|CO|Transportation Sector|Unharmonized,CO,Transportation Sector,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|Waste|Unharmonized,CO,Waste,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Agricultural Waste Burning|Unharmonized,NH3,Agricultural Waste Burning,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Agriculture|Unharmonized,NH3,Agriculture,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Aircraft|Unharmonized,NH3,Aircraft,Mt NH3/yr,True
CEDS+|9+ Sectors|Emissions|NH3|Energy Sector|Unharmonized,NH3,Energy Sector,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Forest Burning|Unharmonized,NH3,Forest Burning,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Grassland Burning|Unharmonized,NH3,Grassland Burning,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Industrial Sector|Unharmonized,NH3,Industrial Sector,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|International Shipping|Unharmonized,NH3,International Shipping,Mt NH3/yr,True
CEDS+|9+ Sectors|Emissions|NH3|Peat Burning|Unharmonized,NH3,Peat Burning,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Residential Commercial Other|Unharmonized,NH3,Residential Commercial Other,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Solvents Production and Application|Unharmonized,NH3,Solvents Production and Application,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Transportation Sector|Unharmonized,NH3,Transportation Sector,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NH3|Waste|Unharmonized,NH3,Waste,Mt NH3/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Agricultural Waste Burning|Unharmonized,NOx,Agricultural Waste Burning,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Agriculture|Unharmonized,NOx,Agriculture,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Aircraft|Unharmonized,NOx,Aircraft,Mt NOx/yr,True
CEDS+|9+ Sectors|Emissions|NOx|Energy Sector|Unharmonized,NOx,Energy Sector,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Forest Burning|Unharmonized,NOx,Forest Burning,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Grassland Burning|Unharmonized,NOx,Grassland Burning,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Industrial Sector|Unharmonized,NOx,Industrial Sector,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|International Shipping|Unharmonized,NOx,International Shipping,Mt NOx/yr,True
CEDS+|9+ Sectors|Emissions|NOx|Peat Burning|Unharmonized,NOx,Peat Burning,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Residential Commercial Other|Unharmonized,NOx,Residential Commercial Other,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Solvents Production and Application|Unharmonized,NOx,Solvents Production and Application,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Transportation Sector|Unharmonized,NOx,Transportation Sector,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|NOx|Waste|Unharmonized,NOx,Waste,Mt NOx/yr,False
CEDS+|9+ Sectors|Emissions|OC|Agricultural Waste Burning|Unharmonized,OC,Agricultural Waste Burning,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Agriculture|Unharmonized,OC,Agriculture,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Aircraft|Unharmonized,OC,Aircraft,Mt OC/yr,True
CEDS+|9+ Sectors|Emissions|OC|Energy Sector|Unharmonized,OC,Energy Sector,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Forest Burning|Unharmonized,OC,Forest Burning,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Grassland Burning|Unharmonized,OC,Grassland Burning,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Industrial Sector|Unharmonized,OC,Industrial Sector,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|International Shipping|Unharmonized,OC,International Shipping,Mt OC/yr,True
CEDS+|9+ Sectors|Emissions|OC|Peat Burning|Unharmonized,OC,Peat Burning,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Residential Commercial Other|Unharmonized,OC,Residential Commercial Other,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Solvents Production and Application|Unharmonized,OC,Solvents Production and Application,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Transportation Sector|Unharmonized,OC,Transportation Sector,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|OC|Waste|Unharmonized,OC,Waste,Mt OC/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Agricultural Waste Burning|Unharmonized,Sulfur,Agricultural Waste Burning,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Agriculture|Unharmonized,Sulfur,Agriculture,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Aircraft|Unharmonized,Sulfur,Aircraft,Mt SO2/yr,True
CEDS+|9+ Sectors|Emissions|Sulfur|Energy Sector|Unharmonized,Sulfur,Energy Sector,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Forest Burning|Unharmonized,Sulfur,Forest Burning,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Grassland Burning|Unharmonized,Sulfur,Grassland Burning,Mt SO2/yr,False
