gas,sector,unit,include_in_total,griddinglevel,proxy_path,output_variable,proxy_sector
CO,Solvents Production and Application,Mt CO/yr,TRUE,country,anthro_CO.nc,CO_em_anthro,SLV
CO,Transportation Sector,Mt CO/yr,TRUE,country,anthro_CO.nc,CO_em_anthro,TRA
CO,Waste,Mt CO/yr,TRUE,country,anthro_CO.nc,CO_em_anthro,WST
NH3,Agricultural Waste Burning,Mt NH3/yr,TRUE,country,openburning_NH3.nc,NH3_em_openburning,AWB
NH3,Agriculture,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,AGR
NH3,Aircraft,Mt NH3/yr,TRUE,global,aircraft_NH3.nc,NH3_em_AIR_anthro,AIR
NH3,Energy Sector|Modelled,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,ENE
NH3,Energy Sector|Non-Modelled,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,ENE
NH3,Forest Burning,Mt NH3/yr,TRUE,country,openburning_NH3.nc,NH3_em_openburning,FRTB
NH3,Grassland Burning,Mt NH3/yr,TRUE,country,openburning_NH3.nc,NH3_em_openburning,GRSB
NH3,Industrial Sector,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,IND
NH3,International Shipping,Mt NH3/yr,TRUE,global,shipping_NH3.nc,NH3_em_anthro,SHP
NH3,Peat Burning,Mt NH3/yr,TRUE,country,openburning_NH3.nc,NH3_em_openburning,PEAT
NH3,Residential Commercial Other,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,RCO
NH3,Solvents Production and Application,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,SLV
NH3,Transportation Sector,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,TRA
NH3,Waste,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,WST
NOx,Agricultural Waste Burning,Mt NOx/yr,TRUE,country,openburning_NOx.nc,NOx_em_openburning,AWB
NOx,Agriculture,Mt NOx/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,AGR
NOx,Aircraft,Mt NOx/yr,TRUE,global,aircraft_NOx.nc,NOx_em_AIR_anthro,AIR
NOx,Energy Sector|Modelled,Mt NOx/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,ENE
NOx,Energy Sector|Non-Modelled,Mt NOx/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,ENE
NOx,Forest Burning,Mt NOx/yr,TRUE,country,openburning_NOx.nc,NOx_em_openburning,FRTB
NOx,Grassland Burning,Mt NOx/yr,TRUE,country,openburning_NOx.nc,NOx_em_openburning,GRSB
NOx,Industrial Sector,Mt NOx/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,IND
NOx,International Shipping,Mt NOx/yr,TRUE,global,shipping_NOx.nc,NOx_em_anthro,SHP
NOx,Peat Burning,Mt NOx/yr,TRUE,country,openburning_NOx.nc,NOx_em_openburning,PEAT
NOx,Residential Commercial Other,Mt NOx/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,RCO
NOx,Solvents Production and Application,Mt NOx/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,SLV
NOx,Transportation Sector,Mt NOx/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,TRA
NOx,Waste,Mt NOx/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,WST
OC,Agricultural Waste Burning,Mt OC/yr,TRUE,country,openburning_OC.nc,OC_em_openburning,AWB
OC,Agriculture,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,AGR
OC,Aircraft,Mt OC/yr,TRUE,global,aircraft_OC.nc,OC_em_AIR_anthro,AIR
OC,Energy Sector|Modelled,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,ENE
OC,Energy Sector|Non-Modelled,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,ENE
OC,Forest Burning,Mt OC/yr,TRUE,country,openburning_OC.nc,OC_em_openburning,FRTB
OC,Grassland Burning,Mt OC/yr,TRUE,country,openburning_OC.nc,OC_em_openburning,GRSB
OC,Industrial Sector,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,IND
OC,International Shipping,Mt OC/yr,TRUE,global,shipping_OC.nc,OC_em_anthro,SHP
OC,Peat Burning,Mt OC/yr,TRUE,country,openburning_OC.nc,OC_em_openburning,PEAT
OC,Residential Commercial Other,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,RCO
OC,Solvents Production and Application,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,SLV
OC,Transportation Sector,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,TRA
OC,Waste,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,WST
Sulfur,Agricultural Waste Burning,Mt SO2/yr,TRUE,country,openburning_Sulfur.nc,Sulfur_em_openburning,AWB
Sulfur,Agriculture,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,Sulfur_em_anthro,AGR
Sulfur,Aircraft,Mt SO2/yr,TRUE,global,aircraft_Sulfur.nc,Sulfur_em_AIR_anthro,AIR
Sulfur,Energy Sector|Modelled,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,Sulfur_em_anthro,ENE
Sulfur,Energy Sector|Non-Modelled,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,Sulfur_em_anthro,ENE
Sulfur,Forest Burning,Mt SO2/yr,TRUE,country,openburning_Sulfur.nc,Sulfur_em_openburning,FRTB
Sulfur,Grassland Burning,Mt SO2/yr,TRUE,country,openburning_Sulfur.nc,Sulfur_em_openburning,GRSB
Sulfur,Industrial Sector,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,Sulfur_em_anthro,IND
Sulfur,International Shipping,Mt SO2/yr,TRUE,global,shipping_Sulfur.nc,Sulfur_em_anthro,SHP
Sulfur,Peat Burning,Mt SO2/yr,TRUE,country,openburning_Sulfur.nc,Sulfur_em_openburning,PEAT
Sulfur,Residential Commercial Other,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,Sulfur_em_anthro,RCO
Sulfur,Solvents Production and Application,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,Sulfur_em_anthro,SLV
Sulfur,Transportation Sector,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,Sulfur_em_anthro,TRA
Sulfur,Waste,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,Sulfur_em_anthro,WST
VOC,Agricultural Waste Burning,Mt VOC/yr,TRUE,country,openburning_VOC.nc,VOC_em_openburning,AWB
VOC,Agriculture,Mt VOC/yr,TRUE,country,anthro_VOC.nc,VOC_em_anthro,AGR
VOC,Aircraft,Mt VOC/yr,TRUE,global,aircraft_VOC.nc,VOC_em_AIR_anthro,AIR
VOC,Energy Sector|Modelled,Mt VOC/yr,TRUE,country,anthro_VOC.nc,VOC_em_anthro,ENE
VOC,Energy Sector|Non-Modelled,Mt VOC/yr,TRUE,country,anthro_VOC.nc,VOC_em_anthro,ENE
VOC,Forest Burning,Mt VOC/yr,TRUE,country,openburning_VOC.nc,VOC_em_openburning,FRTB
VOC,Grassland Burning,Mt VOC/yr,TRUE,country,openburning_VOC.nc,VOC_em_openburning,GRSB
VOC,Industrial Sector,Mt VOC/yr,TRUE,country,anthro_VOC.nc,VOC_em_anthro,IND
VOC,International Shipping,Mt VOC/yr,TRUE,global,shipping_VOC.nc,VOC_em_anthro,SHP
VOC,Peat Burning,Mt VOC/yr,TRUE,country,openburning_VOC.nc,VOC_em_openburning,PEAT
VOC,Residential Commercial Other,Mt VOC/yr,TRUE,country,anthro_VOC.nc,VOC_em_anthro,RCO
VOC,Solvents Production and Application,Mt VOC/yr,TRUE,country,anthro_VOC.nc,VOC_em_anthro,SLV
VOC,Transportation Sector,Mt VOC/yr,TRUE,country,anthro_VOC.nc,VOC_em_anthro,TRA
VOC,Waste,Mt VOC/yr,TRUE,country,anthro_VOC.nc,VOC_em_anthro,WST
HFC,Total,Mt CO2eq/yr,TRUE,global,,,
C2F6,Total,kt C2F6/yr,TRUE,global,,,
CF4,Total,kt CF4/yr,TRUE,global,,,
SF6,Total,kt SF6/yr,TRUE,global,,,
N2O,Total,kt N2O/yr,TRUE,global,,,
