gas,sector,unit,include_in_total,griddinglevel,proxy_path,output_variable,proxy_sector
NH3,Aircraft,Mt NH3/yr,TRUE,global,aircraft_NH3.nc,NH3_em_AIR_anthro,AIR
NH3,Energy Sector,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,ENE
NH3,Forest Burning,Mt NH3/yr,TRUE,country,openburning_NH3_FRTB_2014_2023.nc,NH3_em_openburning,FRTB
NH3,Grassland Burning,Mt NH3/yr,TRUE,country,openburning_NH3_SAVA_2014_2023.nc,NH3_em_openburning,GRSB
NH3,Industrial Sector,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,IND
NH3,International Shipping,Mt NH3/yr,TRUE,global,shipping_NH3.nc,NH3_em_anthro,SHP
NH3,Peat Burning,Mt NH3/yr,TRUE,country,openburning_NH3_PEAT_2014_2023.nc,NH3_em_openburning,PEAT
NH3,Residential Commercial Other,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,RCO
NH3,Solvents Production and Application,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,SLV
NH3,Transportation Sector,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,TRA
NH3,Waste,Mt NH3/yr,TRUE,country,anthro_NH3.nc,NH3_em_anthro,WST
NOx,Agricultural Waste Burning,Mt NO2/yr,TRUE,country,openburning_NOx_AGRI_2014_2023.nc,NOx_em_openburning,AWB
NOx,Agriculture,Mt NO2/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,AGR
NOx,Aircraft,Mt NO2/yr,TRUE,global,aircraft_NOx.nc,NOx_em_AIR_anthro,AIR
NOx,Energy Sector,Mt NO2/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,ENE
NOx,Forest Burning,Mt NO2/yr,TRUE,country,openburning_NOx_FRTB_2014_2023.nc,NOx_em_openburning,FRTB
NOx,Grassland Burning,Mt NO2/yr,TRUE,country,openburning_NOx_SAVA_2014_2023.nc,NOx_em_openburning,GRSB
NOx,Industrial Sector,Mt NO2/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,IND
NOx,International Shipping,Mt NO2/yr,TRUE,global,shipping_NOx.nc,NOx_em_anthro,SHP
NOx,Peat Burning,Mt NO2/yr,TRUE,country,openburning_NOx_PEAT_2014_2023.nc,NOx_em_openburning,PEAT
NOx,Residential Commercial Other,Mt NO2/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,RCO
NOx,Solvents Production and Application,Mt NO2/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,SLV
NOx,Transportation Sector,Mt NO2/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,TRA
NOx,Waste,Mt NO2/yr,TRUE,country,anthro_NOx.nc,NOx_em_anthro,WST
OC,Agricultural Waste Burning,Mt OC/yr,TRUE,country,openburning_OC_AGRI_2014_2023.nc,OC_em_openburning,AWB
OC,Agriculture,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,AGR
OC,Aircraft,Mt OC/yr,TRUE,global,aircraft_OC.nc,OC_em_AIR_anthro,AIR
OC,Energy Sector,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,ENE
OC,Forest Burning,Mt OC/yr,TRUE,country,openburning_OC_FRTB_2014_2023.nc,OC_em_openburning,FRTB
OC,Grassland Burning,Mt OC/yr,TRUE,country,openburning_OC_SAVA_2014_2023.nc,OC_em_openburning,GRSB
OC,Industrial Sector,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,IND
OC,International Shipping,Mt OC/yr,TRUE,global,shipping_OC.nc,OC_em_anthro,SHP
OC,Peat Burning,Mt OC/yr,TRUE,country,openburning_OC_PEAT_2014_2023.nc,OC_em_openburning,PEAT
OC,Residential Commercial Other,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,RCO
OC,Solvents Production and Application,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,SLV
OC,Transportation Sector,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,TRA
OC,Waste,Mt OC/yr,TRUE,country,anthro_OC.nc,OC_em_anthro,WST
SO2,Agricultural Waste Burning,Mt SO2/yr,TRUE,country,openburning_Sulfur_AGRI_2014_2023.nc,SO2_em_openburning,AWB
SO2,Agriculture,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,SO2_em_anthro,AGR
SO2,Aircraft,Mt SO2/yr,TRUE,global,aircraft_Sulfur.nc,SO2_em_AIR_anthro,AIR
SO2,Energy Sector,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,SO2_em_anthro,ENE
SO2,Forest Burning,Mt SO2/yr,TRUE,country,openburning_Sulfur_FRTB_2014_2023.nc,SO2_em_openburning,FRTB
SO2,Grassland Burning,Mt SO2/yr,TRUE,country,openburning_Sulfur_SAVA_2014_2023.nc,SO2_em_openburning,GRSB
SO2,Industrial Sector,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,SO2_em_anthro,IND
SO2,International Shipping,Mt SO2/yr,TRUE,global,shipping_Sulfur.nc,SO2_em_anthro,SHP
SO2,Peat Burning,Mt SO2/yr,TRUE,country,openburning_Sulfur_PEAT_2014_2023.nc,SO2_em_openburning,PEAT
SO2,Residential Commercial Other,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,SO2_em_anthro,RCO
SO2,Solvents Production and Application,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,SO2_em_anthro,SLV
SO2,Transportation Sector,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,SO2_em_anthro,TRA
SO2,Waste,Mt SO2/yr,TRUE,country,anthro_Sulfur.nc,SO2_em_anthro,WST
NMVOCbulk,Agricultural Waste Burning,Mt VOC/yr,TRUE,country,openburning_VOC_AGRI_2014_2023.nc,NMVOCbulk_em_openburning,AWB
NMVOC,Agriculture,Mt VOC/yr,TRUE,country,anthro_VOC.nc,NMVOC_em_anthro,AGR
NMVOC,Aircraft,Mt VOC/yr,TRUE,global,aircraft_VOC.nc,NMVOC_em_AIR_anthro,AIR
NMVOC,Energy Sector,Mt VOC/yr,TRUE,country,anthro_VOC.nc,NMVOC_em_anthro,ENE
NMVOCbulk,Forest Burning,Mt VOC/yr,TRUE,country,openburning_VOC_FRTB_2014_2023.nc,NMVOCbulk_em_openburning,FRTB
NMVOCbulk,Grassland Burning,Mt VOC/yr,TRUE,country,openburning_VOC_SAVA_2014_2023.nc,NMVOCbulk_em_openburning,GRSB
NMVOC,Industrial Sector,Mt VOC/yr,TRUE,country,anthro_VOC.nc,NMVOC_em_anthro,IND
NMVOC,International Shipping,Mt VOC/yr,TRUE,global,shipping_VOC.nc,NMVOC_em_anthro,SHP
NMVOCbulk,Peat Burning,Mt VOC/yr,TRUE,country,openburning_VOC_PEAT_2014_2023.nc,NMVOCbulk_em_openburning,PEAT
NMVOC,Residential Commercial Other,Mt VOC/yr,TRUE,country,anthro_VOC.nc,NMVOC_em_anthro,RCO
NMVOC,Solvents Production and Application,Mt VOC/yr,TRUE,country,anthro_VOC.nc,NMVOC_em_anthro,SLV
NMVOC,Transportation Sector,Mt VOC/yr,TRUE,country,anthro_VOC.nc,NMVOC_em_anthro,TRA
NMVOC,Waste,Mt VOC/yr,TRUE,country,anthro_VOC.nc,NMVOC_em_anthro,WST
N2O,Agriculture,kt N2O/yr,TRUE,country,anthro_N2O.nc,N2O_em_anthro,AGR
N2O,Energy Sector,kt N2O/yr,TRUE,country,anthro_N2O.nc,N2O_em_anthro,ENE
N2O,Industrial Sector,kt N2O/yr,TRUE,country,anthro_N2O.nc,N2O_em_anthro,IND
N2O,International Shipping,kt N2O/yr,TRUE,global,shipping_N2O.nc,N2O_em_anthro,SHP
N2O,Residential Commercial Other,kt N2O/yr,TRUE,country,anthro_N2O.nc,N2O_em_anthro,RCO
N2O,Solvents Production and Application,kt N2O/yr,TRUE,country,anthro_N2O.nc,N2O_em_anthro,SLV
N2O,Transportation Sector,kt N2O/yr,TRUE,country,anthro_N2O.nc,N2O_em_anthro,TRA
N2O,Waste,kt N2O/yr,TRUE,country,anthro_N2O.nc,N2O_em_anthro,WST
N2O,Agricultural Waste Burning,Mt VOC/yr,TRUE,country,openburning_N2O_AGRI_2014_2023.nc,N2O_em_openburning,AWB
N2O,Forest Burning,Mt VOC/yr,TRUE,country,openburning_N2O_FRTB_2014_2023.nc,N2O_em_openburning,FRTB
N2O,Grassland Burning,Mt VOC/yr,TRUE,country,openburning_N2O_SAVA_2014_2023.nc,N2O_em_openburning,GRSB
N2O,Peat Burning,Mt VOC/yr,TRUE,country,openburning_N2O_PEAT_2014_2023.nc,N2O_em_openburning,PEAT
N2O,Aircraft,kt N2O/yr,TRUE,global,aircraft_N2O.nc,N2O_em_AIR_anthro,AIR
F-Gases,Total,Mt CO2eq/yr,TRUE,global,,,
HFC,Total,kt HFC134aeq/yr,FALSE,global,,,
PFC,Total,kt CF4eq/yr,FALSE,global,,,
CFC,Total,kt CFC12eq/yr,FALSE,global,,,
C2F6,Total,kt C2F6/yr,FALSE,global,,,
SF6,Total,kt SF6/yr,FALSE,global,,,
CF4,Total,kt CF4/yr,FALSE,global,,,
C6F14,Total,kt C6F14/yr,FALSE,global,,,
HFC125 ,Total,kt HFC125/yr,FALSE,global,,,
HFC134a,Total,kt HFC134s/yr,FALSE,global,,,
HFC143a,Total,kt HFC143a/yr,FALSE,global,,,
HFC227ea,Total,kt HFC227ea/yr,FALSE,global,,,
HFC23,Total,kt HFC23/yr,FALSE,global,,,
HFC245fa,Total,kt HFC245fa/yr,FALSE,global,,,
HFC32,Total,kt HFC32/yr,FALSE,global,,,
HFC43-10,Total,kt HFC43-10/yr,FALSE,global,,,
